epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1133.22,1.57133,1.10223,1.2585,0.6959,0.51009,0.5662,0.29134,1.62298,1.22901,1.13658,0.000517777,0.000517777,0.000517777
43,1156.68,1.52727,1.06017,1.23745,0.72188,0.51781,0.53467,0.28107,1.58283,1.3737,1.11455,0.000512828,0.000512828,0.000512828
44,1184.74,1.53551,1.08535,1.25608,0.68759,0.5143,0.52532,0.2776,1.56759,1.06224,1.11105,0.000507793,0.000507793,0.000507793
45,1208.08,1.51927,1.06869,1.24819,0.70673,0.49404,0.52659,0.27886,1.56622,1.0422,1.10727,0.000502673,0.000502673,0.000502673
46,1230.81,1.52901,1.08033,1.24847,0.68264,0.51381,0.5315,0.28745,1.5159,1.00463,1.08598,0.000497471,0.000497471,0.000497471
47,1253.65,1.51159,1.04105,1.23473,0.67264,0.5255,0.52323,0.27393,1.5535,1.13553,1.10725,0.00049219,0.00049219,0.00049219
48,1278.69,1.51553,1.03706,1.24063,0.71618,0.52169,0.54368,0.28716,1.53715,1.02313,1.09889,0.000486831,0.000486831,0.000486831
49,1304.03,1.52151,1.04122,1.24113,0.71464,0.5384,0.53947,0.28582,1.54193,1.36054,1.09822,0.000481396,0.000481396,0.000481396
50,1328.31,1.53556,1.06014,1.24536,0.70529,0.53197,0.55232,0.29668,1.53688,0.91957,1.1058,0.00047589,0.00047589,0.00047589
51,1352.93,1.50899,1.04702,1.24185,0.68855,0.53915,0.57416,0.30111,1.52755,1.08765,1.1116,0.000470312,0.000470312,0.000470312
52,1377.6,1.49889,1.0427,1.23634,0.70796,0.52717,0.59352,0.30643,1.51631,1.05681,1.09691,0.000464668,0.000464668,0.000464668
53,1400.72,1.49374,1.03358,1.23023,0.70095,0.53006,0.56639,0.30821,1.51953,1.43338,1.09213,0.000458957,0.000458957,0.000458957
54,1424.09,1.49267,1.0251,1.23397,0.72775,0.52003,0.56336,0.30674,1.51443,0.99451,1.0937,0.000453184,0.000453184,0.000453184
55,1447.57,1.51893,1.03609,1.23905,0.73982,0.51332,0.56766,0.3057,1.49185,0.95025,1.08051,0.00044735,0.00044735,0.00044735
